deployment_num,project_name,recorder_lab_id_num,recorder_ID,firmware_version,micro_sd_ID,config_file_name,deployment_team,,location_site_name,site_subname,latitude,longitude,gps_source,gps_accuracy_m,AM_housing,height_above_ground_m,dropoff_date,dropoff_time,dropoff_notes,habitat,setting,game_cam_present,num_game_cam_present,game_cam_deploy_num,pickup_date,pickup_time,working_at_retrieval,pickup_notes,recorder_checkin_date,recorder_checkin_notes,card_upload_date,card_upload_notes,card_data_size,FLAG,FLAG_comments
AM0011,Eclipse project,1,24F3190863FAA5B9,1.9.2,1,eclipse_project2.config,"Erika, Gus",,Donnerville,,44.429,-75.107978,,,,,31-Mar-24,15:05,wood frogs calling,Deciduous,Rural,FALSE,,,18-Apr-24,9:08,TRUE,,19-Apr-24,batteries removed and device left out to fully dry before storage,19-Apr-24,,,,
AM0012,Eclipse project,17,243EBE0164D67B51,1.9.2,24,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht  ",,Upper and Lower Lakes,Indian Creek Nature Center,44.600911,-75.285238,,,,,30-Mar-24,14:40,"sunny, c. 48 F, light wind",Mixed ,Rural,FALSE,,,28-Apr-24,15:14,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,,,,
AM0013,Eclipse project,6,2453AC0264D67171,1.9.2,6,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",1,Upper and Lower Lakes,Indian Creek Nature Center,44.592808,-75.290404,,,,,30-Mar-24,15:30,"sunny, c. 48 F, light wind",Deciduous,Rural,FALSE,,,28-Apr-24,14:40,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,,,,
AM0014,Eclipse project,15,243B1F0663FA5AC8,1.9.2,10,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",1,Upper and Lower Lakes,Indian Creek Nature Center,44.590335,-75.289551,,,,,30-Mar-24,15:41,"sunny, c. 48F, light breezer",Deciduous,Rural,FALSE,,,28-Apr-24,14:28,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,only recorded through 12 April,,,
AM0015,Eclipse project,7,2403750364D67B21,1.9.2,17,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",1,Upper and Lower Lakes,Indian Creek Nature Center,44.591051,-75.300596,,,,,30-Mar-24,16:02,successional (early) growth,Deciduous,Rural,FALSE,,,28-Apr-24,13:57,TRUE,,28-Apr-24,batteries removed and device left out to fully dry before storage,28-Apr-24,,,,
AM0016,Eclipse project,13,242A260463FAA578,1.9.2,16,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",1,Upper and Lower Lakes,Indian Creek Nature Center,44.590114,-75.296048,,,,,30-Mar-24,15:10,"sunny, c. 48F light breeze",Deciduous,Rural,FALSE,,,28-Apr-24,14:08,TRUE,,29-Apr-24,batteries removed and device left out to fully dry before storage,29-Apr-24,,,,
AM0017,Eclipse project,22,24F3190863FAB496,1.9.2,19,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",1,Upper and Lower Lakes,,44.57808,-75.306596,,,,,30-Mar-24,16:18,"sunny, c. 48F light breeze",Deciduous,Rural,FALSE,,,28-Apr-24,13:44,TRUE,,29-Apr-24,batteries removed and device left out to fully dry before storage,29-Apr-24,,,,
AM0018,Eclipse project,10,243EBE0164D67739,1.9.2,14,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",,Upper and Lower Lakes,,44.601558,-75.26774,,,,,30-Mar-24,14:16,"sunny, c. 48F, light breeze",Mixed,Rural,FALSE,,,4-May-24,15:22,TRUE,had to bike down road - gate closed on 15 April 2024,5-May-24,batteries removed and device left out to fully dry before storage,5-May-24,,,,
AM0019,Eclipse project,19,243B1F0663FAA578,1.9.2,8,eclipse_project2.config,"Erika, Gus, Kelsey SImler, Evelyn Albrecht",,Upper and Lower Lakes,,44.569722,-75.291678,,,,,30-Mar-24,16:57,"sunny, c. 48 F, light wind",Deciduous,Rural,FALSE,,,4-May-24,14:43,TRUE,had to bike down road - gate closed on 15 April 2024; vernal pool smaller but still with some standing water a few inches deep,5-May-24,batteries removed and device left out to fully dry before storage,5-May-24,,,,
AM0020,Eclipse project,9,2466BE0464D67B31,1.9.2,9,eclipse_project2.config,"Erika, Gus, Kelsey Simler, Evelyn Albrecht",,Upper and Lower Lakes,,44.576828,-75.284838,,,,,30-Mar-24,16:39,,Deciduous,Rural,FALSE,,,4-May-24,14:15,TRUE,had to bike down road - gate closed on 15 April 2024; wetland area is basically dry; some mud but no standing water,5-May-24,batteries removed and device left out to fully dry before storage,5-May-24,,,,
