file,start,end,species,probability,date_time,time
20240401_232400.WAV,0,3,Pseudacris crucifer_Spring Peeper,0.862401187,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,3,6,Pseudacris crucifer_Spring Peeper,0.961081326,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,6,9,Pseudacris crucifer_Spring Peeper,0.910230219,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,9,12,Pseudacris crucifer_Spring Peeper,0.870582104,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,12,15,Pseudacris crucifer_Spring Peeper,0.881995857,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,15,18,Pseudacris crucifer_Spring Peeper,0.955480516,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,18,21,Pseudacris crucifer_Spring Peeper,0.805422544,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,21,24,Pseudacris crucifer_Spring Peeper,0.884298742,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,24,27,Pseudacris crucifer_Spring Peeper,0.907357275,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,27,30,Pseudacris crucifer_Spring Peeper,0.8852247,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,30,33,Pseudacris crucifer_Spring Peeper,0.929932714,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,33,36,Pseudacris crucifer_Spring Peeper,0.868011773,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,36,39,Pseudacris crucifer_Spring Peeper,0.926270843,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,39,42,Pseudacris crucifer_Spring Peeper,0.899892867,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,42,45,Pseudacris crucifer_Spring Peeper,0.852717638,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,45,48,Pseudacris crucifer_Spring Peeper,0.886679053,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,48,51,Pseudacris crucifer_Spring Peeper,0.927944362,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,51,54,Pseudacris crucifer_Spring Peeper,0.938489199,2024-04-01T23:24:00Z,23:24:00
20240401_232400.WAV,54,55,Pseudacris crucifer_Spring Peeper,0.833462775,2024-04-01T23:24:00Z,23:24:00
20240407_194300.WAV,0,3,Pseudacris crucifer_Spring Peeper,0.443549842,2024-04-07T19:43:00Z,19:43:00
20240407_194300.WAV,3,6,Pseudacris crucifer_Spring Peeper,0.469494581,2024-04-07T19:43:00Z,19:43:00
20240407_194300.WAV,9,12,Pseudacris crucifer_Spring Peeper,0.468500912,2024-04-07T19:43:00Z,19:43:00
20240407_194300.WAV,15,18,Pseudacris crucifer_Spring Peeper,0.5952968,2024-04-07T19:43:00Z,19:43:00
20240407_194300.WAV,18,21,Pseudacris crucifer_Spring Peeper,0.700913548,2024-04-07T19:43:00Z,19:43:00
20240407_194300.WAV,21,24,Pseudacris crucifer_Spring Peeper,0.439294934,2024-04-07T19:43:00Z,19:43:00
20240407_194300.WAV,24,27,Pseudacris crucifer_Spring Peeper,0.811470926,2024-04-07T19:43:00Z,19:43:00
