start,end,Lithobates palustris_Pickerel Frog,Pseudacris crucifer_Spring Peeper,file,Baeolophus bicolor_Tufted Titmouse,Certhia americana_Brown Creeper,Megaceryle alcyon_Belted Kingfisher,Sphyrapicus varius_Yellow-bellied Sapsucker,Lithobates sylvaticus_Wood Frog,Junco hyemalis_Dark-eyed Junco,Sayornis phoebe_Eastern Phoebe,Turdus migratorius_American Robin,Catharus guttatus_Hermit Thrush,Quiscalus quiscula_Common Grackle,Colaptes auratus_Northern Flicker,Zonotrichia leucophrys_White-crowned Sparrow,Meleagris gallopavo_Wild Turkey,Regulus satrapa_Golden-crowned Kinglet,Butorides virescens_Green Heron,Aix sponsa_Wood Duck,Branta canadensis_Canada Goose,Poecile atricapillus_Black-capped Chickadee,Myadestes townsendi_Townsend's Solitaire,Sialia sialis_Eastern Bluebird,Pinicola enucleator_Pine Grosbeak,Aegolius acadicus_Northern Saw-whet Owl,Hylocichla mustelina_Wood Thrush,Coccothraustes vespertinus_Evening Grosbeak,Engine_Engine,Troglodytes hiemalis_Winter Wren,Dryobates pubescens_Downy Woodpecker,Sitta carolinensis_White-breasted Nuthatch,Empidonax flaviventris_Yellow-bellied Flycatcher,Catharus ustulatus_Swainson's Thrush,Chordeiles minor_Common Nighthawk,Scolopax minor_American Woodcock,Dryobates villosus_Hairy Woodpecker,Spinus pinus_Pine Siskin,Buteo lineatus_Red-shouldered Hawk,Haemorhous purpureus_Purple Finch,Spinus tristis_American Goldfinch,Corvus ossifragus_Fish Crow,Catharus fuscescens_Veery,Mergus serrator_Red-breasted Merganser,Cygnus olor_Mute Swan,Sitta canadensis_Red-breasted Nuthatch,Anas platyrhynchos_Mallard,Canis latrans_Coyote,Botaurus lentiginosus_American Bittern,Corvus corax_Common Raven,Dryocopus pileatus_Pileated Woodpecker,Anas crecca_Green-winged Teal,Cyanocitta cristata_Blue Jay,Vireo flavifrons_Yellow-throated Vireo,Acanthis flammea_Common Redpoll,Columba livia_Rock Pigeon,Piranga rubra_Summer Tanager,Buteo jamaicensis_Red-tailed Hawk,Strix varia_Barred Owl,Picoides dorsalis_American Three-toed Woodpecker,Euphagus carolinus_Rusty Blackbird,Dog_Dog,Passerella iliaca_Fox Sparrow,Lithobates clamitans_Green Frog,Human vocal_Human vocal,Myiarchus crinitus_Great Crested Flycatcher,Polioptila caerulea_Blue-gray Gnatcatcher,Dumetella carolinensis_Gray Catbird,Branta bernicla_Brant,Bombycilla cedrorum_Cedar Waxwing,Conocephalus fasciatus_Slender Meadow Katydid,Cygnus buccinator_Trumpeter Swan,Somateria mollissima_Common Eider,Salpinctes obsoletus_Rock Wren,Anthus rubescens_American Pipit,Sayornis saya_Say's Phoebe,Melospiza melodia_Song Sparrow,Seiurus aurocapilla_Ovenbird,Siren_Siren
0.0,3.0,0.5995935201644897,,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,,,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,,0.5189195275306702,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,0.460753858089447,0.637424886226654,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,0.43631690740585327,0.6771169304847717,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,0.5055708885192871,0.535991907119751,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,,,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,,,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,,0.4419115483760834,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,,0.5539107918739319,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,,0.444317102432251,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,,,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,,,20240407_194300.WAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
