start,end,file,Amblycorypha alexanderi_Clicker Round-winged Katydid,Certhia americana_Brown Creeper
33.0,36.0,20240331_151300.WAV,,
36.0,39.0,20240331_151300.WAV,,
39.0,42.0,20240331_151300.WAV,,
42.0,45.0,20240331_151300.WAV,,
45.0,48.0,20240331_151300.WAV,,
48.0,51.0,20240331_151300.WAV,,
51.0,54.0,20240331_151300.WAV,,
54.0,55.0,20240331_151300.WAV,,
0.0,3.0,20240331_150643.WAV,,
3.0,6.0,20240331_150643.WAV,,
6.0,9.0,20240331_150643.WAV,,
9.0,12.0,20240331_150643.WAV,,
0.0,3.0,20240331_151400.WAV,,
3.0,6.0,20240331_151400.WAV,,
6.0,9.0,20240331_151400.WAV,,
9.0,12.0,20240331_151400.WAV,,
12.0,15.0,20240331_151400.WAV,,
15.0,18.0,20240331_151400.WAV,,
18.0,21.0,20240331_151400.WAV,,
21.0,24.0,20240331_151400.WAV,,
24.0,27.0,20240331_151400.WAV,,
27.0,30.0,20240331_151400.WAV,,
30.0,33.0,20240331_151400.WAV,,
33.0,36.0,20240331_151400.WAV,,
36.0,39.0,20240331_151400.WAV,,
39.0,42.0,20240331_151400.WAV,,
42.0,45.0,20240331_151400.WAV,,
45.0,48.0,20240331_151400.WAV,,
48.0,51.0,20240331_151400.WAV,,
51.0,54.0,20240331_151400.WAV,,
54.0,55.0,20240331_151400.WAV,,
0.0,3.0,20240331_151600.WAV,,
3.0,6.0,20240331_151600.WAV,,
6.0,9.0,20240331_151600.WAV,,
9.0,12.0,20240331_151600.WAV,,
12.0,15.0,20240331_151600.WAV,,
15.0,18.0,20240331_151600.WAV,,
18.0,21.0,20240331_151600.WAV,,
21.0,24.0,20240331_151600.WAV,,
24.0,27.0,20240331_151600.WAV,,
27.0,30.0,20240331_151600.WAV,,
30.0,33.0,20240331_151600.WAV,,
33.0,36.0,20240331_151600.WAV,,
36.0,39.0,20240331_151600.WAV,,
39.0,42.0,20240331_151600.WAV,,
42.0,45.0,20240331_151600.WAV,,
45.0,48.0,20240331_151600.WAV,,
48.0,51.0,20240331_151600.WAV,,
51.0,54.0,20240331_151600.WAV,,
54.0,55.0,20240331_151600.WAV,,
0.0,3.0,20240331_151200.WAV,,
3.0,6.0,20240331_151200.WAV,,
6.0,9.0,20240331_151200.WAV,,
9.0,12.0,20240331_151200.WAV,,
12.0,15.0,20240331_151200.WAV,,
15.0,18.0,20240331_151200.WAV,,
18.0,21.0,20240331_151200.WAV,,
21.0,24.0,20240331_151200.WAV,,
24.0,27.0,20240331_151200.WAV,,
27.0,30.0,20240331_151200.WAV,,
30.0,33.0,20240331_151200.WAV,,
33.0,36.0,20240331_151200.WAV,,
36.0,39.0,20240331_151200.WAV,,
39.0,42.0,20240331_151200.WAV,,
42.0,45.0,20240331_151200.WAV,,
45.0,48.0,20240331_151200.WAV,,
48.0,51.0,20240331_151200.WAV,,
51.0,54.0,20240331_151200.WAV,,
54.0,55.0,20240331_151200.WAV,,
0.0,3.0,20240331_151000.WAV,,
3.0,6.0,20240331_151000.WAV,,
6.0,9.0,20240331_151000.WAV,,
9.0,12.0,20240331_151000.WAV,,
12.0,15.0,20240331_151000.WAV,,
15.0,18.0,20240331_151000.WAV,,
18.0,21.0,20240331_151000.WAV,,
21.0,24.0,20240331_151000.WAV,,
24.0,27.0,20240331_151000.WAV,,
27.0,30.0,20240331_151000.WAV,,
30.0,33.0,20240331_151000.WAV,,
33.0,36.0,20240331_151000.WAV,,
36.0,39.0,20240331_151000.WAV,,
39.0,42.0,20240331_151000.WAV,,
42.0,45.0,20240331_151000.WAV,,
45.0,48.0,20240331_151000.WAV,,
48.0,51.0,20240331_151000.WAV,,
51.0,54.0,20240331_151000.WAV,,
54.0,55.0,20240331_151000.WAV,,
0.0,3.0,20240331_150900.WAV,,
3.0,6.0,20240331_150900.WAV,,
6.0,9.0,20240331_150900.WAV,,
9.0,12.0,20240331_150900.WAV,,
12.0,15.0,20240331_150900.WAV,,
15.0,18.0,20240331_150900.WAV,,
18.0,21.0,20240331_150900.WAV,,
21.0,24.0,20240331_150900.WAV,,
24.0,27.0,20240331_150900.WAV,,
27.0,30.0,20240331_150900.WAV,,
30.0,33.0,20240331_150900.WAV,,
33.0,36.0,20240331_150900.WAV,,
36.0,39.0,20240331_150900.WAV,,
39.0,42.0,20240331_150900.WAV,,
42.0,45.0,20240331_150900.WAV,,
45.0,48.0,20240331_150900.WAV,,
48.0,51.0,20240331_150900.WAV,,
51.0,54.0,20240331_150900.WAV,,
54.0,55.0,20240331_150900.WAV,,
